ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,Age,Years_Working
5009095,M,Y,Y,1,104293,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,0,0,33,3
5009099,F,N,Y,0,75610,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,1,-28,X,36,2
5009100,F,N,Y,0,75610,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,1,0,X,36,2
5009141,F,N,N,0,82220,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Managers,2,0,C,26,4
5009142,F,N,N,0,82220,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Managers,2,0,C,26,4
5009145,M,Y,N,0,161774,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,-1,C,43,10
5009146,M,Y,N,0,161774,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,-11,C,43,10
5009147,M,Y,N,0,161774,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,43,10
5009149,M,Y,N,0,161774,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,43,10
5009150,M,Y,N,0,161774,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,43,10
5009186,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,0,48,16
5009187,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,0,48,16
5009188,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,48,16
5009189,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,48,16
5009190,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,48,16
5009191,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,-12,C,48,16
5009192,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,48,16
5009193,F,N,N,0,223328,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,-7,C,48,16
5009220,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,0,C,40,2
5009222,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,-12,C,40,2
5009223,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,-10,C,40,2
5009224,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,0,C,40,2
5009225,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,-12,X,40,2
5009226,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,0,C,40,2
5009227,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,0,0,40,2
5009232,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,0,C,40,2
5009233,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,-3,C,40,2
5009234,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,0,X,40,2
5009236,F,Y,N,0,85202,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,0,0,40,2
5009265,M,Y,N,0,94229,State servant,Higher education,Married,With parents,1,1,1,0,Managers,2,-12,C,28,5
5009266,M,Y,N,0,94229,State servant,Higher education,Married,With parents,1,1,1,0,Managers,2,0,C,28,5
5009267,M,Y,N,0,94229,State servant,Higher education,Married,With parents,1,1,1,0,Managers,2,0,C,28,5
5009268,M,Y,N,0,94229,State servant,Higher education,Married,With parents,1,1,1,0,Managers,2,0,C,28,5
5009269,M,Y,N,0,94229,State servant,Higher education,Married,With parents,1,1,1,0,Managers,2,0,C,28,5
5009335,F,N,N,0,240763,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,1,0,0,44,19
5009336,F,N,N,0,240763,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,1,-1,X,44,19
5009337,F,N,N,0,240763,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,1,-29,X,44,19
5009359,F,Y,N,0,261772,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,1,0,C,52,20
5009360,F,Y,N,0,261772,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,1,0,0,52,20
5009383,F,N,N,0,202319,State servant,Higher education,Married,House / apartment,1,0,1,0,Managers,2,0,C,40,15
5009384,F,N,N,0,202319,State servant,Higher education,Married,House / apartment,1,0,1,0,Managers,2,0,C,40,15
5009386,F,N,N,0,202319,State servant,Higher education,Married,House / apartment,1,0,1,0,Managers,2,0,X,40,15
5009387,F,N,N,0,202319,State servant,Higher education,Married,House / apartment,1,0,1,0,Managers,2,0,0,40,15
5009694,M,Y,N,0,97220,Commercial associate,Higher education,Married,Municipal apartment,1,0,1,1,Managers,2,-21,C,36,4
5009695,M,Y,N,0,97220,Commercial associate,Higher education,Married,Municipal apartment,1,0,1,1,Managers,2,0,0,36,4
5009698,M,Y,N,0,97220,Commercial associate,Higher education,Married,Municipal apartment,1,0,1,1,Managers,2,0,X,36,4
5009699,M,Y,N,0,97220,Commercial associate,Higher education,Married,Municipal apartment,1,0,1,1,Managers,2,-20,X,36,4
5009700,M,Y,N,0,97220,Commercial associate,Higher education,Married,Municipal apartment,1,0,1,1,Managers,2,0,X,36,4
5090752,M,Y,N,0,97220,Commercial associate,Higher education,Married,Municipal apartment,1,0,1,1,Managers,2,-3,C,36,4
5009706,F,N,N,0,64193,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,32,1
5009707,F,N,N,0,64193,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,32,1
5009709,F,N,N,0,64193,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,X,32,1
5009732,F,Y,N,0,266864,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,53,20
5009733,F,Y,N,0,266864,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,53,20
5009734,F,Y,N,0,266864,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,2,0,C,53,20
5009846,M,N,N,0,67193,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,1,0,Managers,2,0,C,34,1
5009864,M,Y,N,0,94211,Working,Higher education,Civil marriage,Rented apartment,1,1,0,0,Managers,2,-10,C,40,3
5009865,M,Y,N,0,94211,Working,Higher education,Civil marriage,Rented apartment,1,1,0,0,Managers,2,0,X,40,3
5009866,M,Y,N,0,94211,Working,Higher education,Civil marriage,Rented apartment,1,1,0,0,Managers,2,0,C,40,3
5009867,M,Y,N,0,94211,Working,Higher education,Civil marriage,Rented apartment,1,1,0,0,Managers,2,0,X,40,3
5009868,M,Y,N,0,94211,Working,Higher education,Civil marriage,Rented apartment,1,1,0,0,Managers,2,0,C,40,3
5009872,M,Y,N,2,272010,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Managers,4,0,C,41,18
5009873,M,Y,N,2,272010,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Managers,4,-9,X,41,18
5009874,M,Y,N,2,272010,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Managers,4,0,X,41,18
5009875,M,Y,N,2,272010,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Managers,4,-1,X,41,18
5009889,M,Y,Y,0,84619,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Managers,1,0,C,36,3
5009890,M,Y,Y,0,84619,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Managers,1,0,C,36,3
5009993,F,N,Y,0,166274,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,2,0,X,46,10
5009994,M,Y,Y,1,102784,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-36,X,38,2
5009995,M,Y,Y,1,102784,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-24,C,38,2
5009996,M,Y,Y,1,102784,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-42,X,38,2
5009997,M,Y,Y,1,102784,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,38,2
5009998,M,Y,Y,1,102784,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,38,2
5010070,F,N,Y,0,66610,State servant,Higher education,Single / not married,House / apartment,1,0,0,1,Managers,1,0,X,30,2
5010119,M,Y,Y,0,92711,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,C,39,3
5010120,M,Y,Y,0,92711,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,-5,C,39,3
5010121,M,Y,Y,0,92711,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,0,39,3
5010122,M,Y,Y,0,92711,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,C,39,3
5010123,M,Y,Y,0,92711,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,-12,0,39,3
5010126,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,0,C,35,6
5010127,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,0,C,35,6
5010128,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,-20,X,35,6
5010129,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,0,C,35,6
5010133,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,0,C,35,6
5010135,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,0,C,35,6
5010136,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,-40,C,35,6
5010137,F,N,Y,2,154902,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Managers,4,0,C,35,6
5010147,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-1,X,34,16
5010150,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-25,C,34,16
5010151,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-6,X,34,16
5010152,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,34,16
5010153,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,34,16
5010154,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,34,16
5010156,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-8,X,34,16
5090887,F,Y,Y,1,222910,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,34,16
5010253,F,Y,Y,0,295391,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,C,54,23
5090944,F,Y,Y,0,295391,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,X,54,23
5010346,F,N,Y,0,134729,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Managers,2,0,C,55,5
5010347,F,N,Y,0,134729,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Managers,2,-4,C,55,5
5010385,F,Y,Y,0,127247,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,X,38,7
5010386,F,Y,Y,0,127247,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-10,X,38,7
5010387,F,Y,Y,0,127247,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,X,38,7
5010388,F,Y,Y,0,127247,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,0,38,7
5010389,F,Y,Y,0,127247,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,C,38,7
5010390,F,Y,Y,0,127247,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,0,38,7
5010391,F,Y,Y,0,127247,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-2,X,38,7
5010518,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-14,C,51,7
5010519,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-16,X,51,7
5010520,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,0,X,51,7
5010521,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-14,X,51,7
5010522,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,0,C,51,7
5010523,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,0,0,51,7
5010524,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-7,C,51,7
5010525,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,0,X,51,7
5010526,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-55,X,51,7
5010527,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-47,C,51,7
5010528,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,0,C,51,7
5010529,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-20,X,51,7
5010530,M,Y,Y,1,167329,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,3,-24,X,51,7
5010586,M,Y,Y,1,177847,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,46,9
5010587,M,Y,Y,1,177847,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,46,9
5010588,M,Y,Y,1,177847,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,0,46,9
5010589,M,Y,Y,1,177847,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,0,46,9
5010590,M,Y,Y,1,177847,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,46,9
5010591,M,Y,Y,1,177847,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-21,X,46,9
5010678,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-21,C,28,6
5010679,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,X,28,6
5010680,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-4,C,28,6
5010681,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,28,6
5010682,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,C,28,6
5010683,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,C,28,6
5010684,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-4,X,28,6
5010685,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,C,28,6
5010686,M,Y,Y,0,103238,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-28,X,28,6
5010785,M,N,N,0,194801,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-5,C,47,13
5010786,M,N,N,0,194801,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,C,47,13
5010787,M,N,N,0,194801,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,C,47,13
5010883,F,N,Y,1,86284,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,0,27,2
5010902,F,N,Y,1,107302,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-5,0,29,4
5010903,F,N,Y,1,107302,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,X,29,4
5010904,F,N,Y,1,107302,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-5,0,29,4
5010906,F,N,Y,1,107302,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,0,29,4
5010944,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,0,38,7
5010945,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-22,C,38,7
5010946,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-24,X,38,7
5010947,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-4,C,38,7
5010948,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,0,38,7
5010949,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,C,38,7
5010950,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-16,C,38,7
5010951,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-1,C,38,7
5010952,F,Y,Y,1,147829,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,-2,C,38,7
5010981,M,Y,N,1,170347,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,3,0,X,41,9
5010982,M,Y,N,1,170347,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,3,0,X,41,9
5018492,M,Y,Y,1,212383,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,3,0,0,45,13
5018493,M,Y,Y,1,212383,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,3,0,0,45,13
5018495,M,Y,Y,1,212383,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,3,-7,C,45,13
5021250,F,N,Y,0,254855,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,-3,C,51,19
5021251,F,N,Y,0,254855,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,-10,X,51,19
5021253,F,N,Y,0,254855,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,C,51,19
5021254,F,N,Y,0,254855,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,-13,C,51,19
5021261,F,N,Y,0,254855,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,0,51,19
5113049,F,N,Y,0,254855,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,C,51,19
5021370,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-15,C,61,2
5021371,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,1,61,2
5021372,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-4,C,61,2
5021373,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-20,C,61,2
5021375,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-38,X,61,2
5021377,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-7,C,61,2
5021378,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,C,61,2
5021379,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,0,61,2
5021380,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,C,61,2
5021381,F,N,Y,0,116702,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,-45,C,61,2
5021594,M,Y,Y,1,143302,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,3,0,0,53,4
5021595,M,Y,Y,1,143302,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,3,0,X,53,4
5021620,F,Y,Y,3,130430,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,5,0,C,41,0
5021622,F,Y,Y,3,130430,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,5,0,C,41,0
5021623,F,Y,Y,3,130430,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,5,-6,C,41,0
5021624,F,Y,Y,3,130430,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,5,0,C,41,0
5021645,F,N,Y,0,193319,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Managers,2,-47,X,34,15
5021646,F,N,Y,0,193319,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Managers,2,0,1,34,15
5021647,F,N,Y,0,193319,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Managers,2,-31,X,34,15
5021648,F,N,Y,0,193319,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Managers,2,-21,1,34,15
5021649,F,N,Y,0,193319,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Managers,2,-4,X,34,15
5021650,F,N,Y,0,193319,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Managers,2,0,C,34,15
5021651,F,N,Y,0,193319,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Managers,2,0,X,34,15
5021688,M,Y,Y,1,90775,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,3,0,C,36,1
5021691,M,Y,Y,1,90775,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,3,0,C,36,1
5113091,M,Y,Y,1,90775,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,3,0,X,36,1
5021756,F,Y,Y,0,86711,Commercial associate,Incomplete higher,Married,House / apartment,1,0,1,1,Managers,2,0,X,35,3
5021882,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-22,X,46,4
5021883,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,46,4
5021884,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,46,4
5021886,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-30,C,46,4
5021887,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,46,4
5021888,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,X,46,4
5021889,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,46,4
5021890,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-6,X,46,4
5021891,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,46,4
5021892,F,Y,Y,0,112220,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-49,X,46,4
5021940,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,C,34,1
5021942,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,X,34,1
5021943,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,C,34,1
5021944,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,34,1
5021945,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,34,1
5021946,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,34,1
5021947,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,34,1
5021948,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,-18,X,34,1
5021949,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,0,34,1
5021950,F,Y,Y,0,67193,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,X,34,1
